Draft Class,Card Name,Rarity,Type,Card Class,Average,P(1 or more),P(2 or more),P(3 or more)
Druid,Savage Roar,basic,Spell,druid,1.46735,0.77967,0.43598,0.17843
Druid,Starfire,basic,Spell,druid,1.45444,0.77634,0.43126,0.17567
Druid,Power of the Wild,common,Spell,druid,1.4426,0.77391,0.42793,0.17235
Druid,Landscaping,common,Spell,druid,1.16503,0.69643,0.32745,0.10814
Druid,Druid of the Claw,common,Minion,druid,1.02655,0.64916,0.27287,0.08193
Druid,Wild Growth,basic,Spell,druid,0.96629,0.62672,0.2517,0.07039
Druid,Mark of the Wild,basic,Spell,druid,0.92639,0.61097,0.23767,0.06342
Druid,Crypt Lord,common,Minion,druid,0.91579,0.60665,0.23309,0.06175
Druid,Lesser Jasper Spellstone,rare,Spell,druid,0.88702,0.6096,0.2198,0.04944
Druid,Wrath,common,Spell,druid,0.88609,0.59317,0.22233,0.05783
Druid,Spreading Plague,rare,Spell,druid,0.8842,0.60444,0.21905,0.05119
Druid,Naturalize,common,Spell,druid,0.85923,0.58085,0.21227,0.05456
Druid,Tortollan Forager,common,Minion,druid,0.84154,0.57409,0.20576,0.05096
Druid,Druid of the Scythe,common,Minion,druid,0.81057,0.56207,0.19338,0.04585
Druid,Ironwood Golem,common,Minion,druid,0.79502,0.55563,0.18792,0.0429
Druid,Living Mana,epic,Spell,druid,0.7934,0.5647,0.1835,0.03893
Druid,Starfall,rare,Spell,druid,0.77064,0.55212,0.1764,0.03694
Druid,Bonemare,common,Minion,neutral,0.71496,0.51577,0.15951,0.03362
Druid,Cobalt Scalebane,common,Minion,neutral,0.70747,0.51214,0.15725,0.03245
Druid,Eggnapper,common,Minion,neutral,0.69714,0.50741,0.15308,0.03127
Druid,Fire Fly,common,Minion,neutral,0.69658,0.50643,0.15303,0.03142
Druid,Tar Creeper,common,Minion,neutral,0.69553,0.50466,0.15361,0.03171
Druid,Fire Plume Phoenix,common,Minion,neutral,0.6955,0.50511,0.15316,0.03186
Druid,Gloop Sprayer,common,Minion,druid,0.69356,0.5052,0.15252,0.03096
Druid,Stoneskin Basilisk,common,Minion,neutral,0.68422,0.50038,0.1491,0.02963
Druid,Dragonslayer,common,Minion,neutral,0.68335,0.49997,0.14791,0.03017
Druid,Hyldnir Frostrider,common,Minion,neutral,0.68125,0.4983,0.14792,0.03018
Druid,Deathspeaker,common,Minion,neutral,0.67693,0.49826,0.14458,0.0292
Druid,Violet Wurm,common,Minion,neutral,0.67637,0.49377,0.1472,0.03016
Druid,Tuskarr Fisherman,common,Minion,neutral,0.67455,0.4944,0.14591,0.02913
Druid,Grim Necromancer,common,Minion,neutral,0.67015,0.49362,0.14316,0.02856
Druid,Shroom Brewer,common,Minion,neutral,0.66838,0.49088,0.1441,0.02847
Druid,Verdant Longneck,common,Minion,druid,0.66763,0.49233,0.14293,0.02821
Druid,Ironbark Protector,basic,Minion,druid,0.66651,0.49115,0.14213,0.02871
Druid,Nesting Roc,common,Minion,neutral,0.65465,0.48481,0.139,0.0267
Druid,Plated Beetle,common,Minion,neutral,0.64268,0.47816,0.13408,0.02603
Druid,Glacial Shard,common,Minion,neutral,0.63915,0.47664,0.13298,0.02517
Druid,Elder Longneck,common,Minion,druid,0.6217,0.46687,0.12783,0.02349
Druid,Branching Paths,epic,Spell,druid,0.61464,0.47149,0.12198,0.01906
Druid,Tending Tauren,rare,Minion,druid,0.61438,0.47006,0.1223,0.01982
Druid,Furious Ettin,common,Minion,neutral,0.59534,0.45167,0.11969,0.02107
Druid,Druid of the Swarm,rare,Minion,druid,0.59497,0.46129,0.11391,0.01786
Druid,Cursed Disciple,common,Minion,neutral,0.5899,0.44917,0.1175,0.02048
Druid,Blackwald Pixie,common,Minion,neutral,0.58759,0.44895,0.11605,0.01971
Druid,Fungalmancer,common,Minion,neutral,0.58553,0.44702,0.11534,0.02017
Druid,Stubborn Gastropod,common,Minion,neutral,0.55924,0.43313,0.10564,0.01788
Druid,Spring Rocket,common,Minion,neutral,0.54355,0.42331,0.10185,0.01636
Druid,Piloted Reaper,common,Minion,neutral,0.54254,0.42222,0.1014,0.01663
